,Phone Name,Phone Price,Phone Image
29,"Freeyond F9,2GB+64GB,6.52"" 4G Smartphone,13.0MP 5000mAh, Dual SIM Android Phones,Black","KSh 9,750",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/786019/1.jpg?4815
30,Generic 3Pcs/Set High Clarity Clear LCD Screen Protector Films For-,KSh 45,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/571007/1.jpg?2464
31,"Freeyond M5,8GB+128GB,6.52"", 50MP,4G Smartphone 5000mAh Dual SIM Android Phone","KSh 14,890",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/98/1435901/1.jpg?9350
32,"Freeyond F9,3GB+128GB,6.52"" 4G Smartphone,13.0MP 5000mAh, Dual SIM Android Phones","KSh 11,790",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/21/6122701/1.jpg?7504
33,Oraimo Rock Stereo Bass Super Long Playtime IPX5 Waterproof True Wireless Earbuds,"KSh 2,200",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/486778/1.jpg?8858
34,"Tecno Spark 10C , 6.6"" FHD,128GB ROM+8GB RAM ,5000mAh,Meta Black","KSh 18,699",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/67/6676921/1.jpg?1549
35,"Freeyond F9,2GB+64GB,6.52"", 13.0MP,4G Smartphone 5000mAh Dual SIM Android Phone,Blue","KSh 9,799",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/98/786019/1.jpg?4816
36,Generic Mirror Face10000mAh RR10S Power Fast Charging Bank With Flashlight Polymer Battery More Safty,KSh 709,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/40/365856/1.jpg?7966
37,Generic Silicone Anti-shock Wireless Earphone Full Protective Cover Case For  1 2-Mustard Green,KSh 130,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/626983/1.jpg?1034
38,"Infinix Hot 30i, 6.6"", 8GB RAM, 128GB, 5000mAh, (DUAL SIM), 4G -  Mirror Black","KSh 17,399",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/5704321/1.jpg?2260
39,"XIAOMI Redmi 12C, 6.71"", 4GB + 128GB, 50MP CAM, 5000mAh, Grey + Smart Watch & Earbuds","KSh 21,999",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/5844221/1.jpg?1859
40,"Freeyond M5,8GB+128GB,6.52"", 50MP,4G Smartphone 5000mAh Dual SIM Android Phone,Black","KSh 15,390",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/62/2035901/1.jpg?7920
41,"Infinix Smart 7 HD, 6.6"", 2GB RAM, 64GB, 5000mAh, 4G(DUAL SIM) - Ink Black","KSh 12,599",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/2338621/1.jpg?8497
42,ARHANORY Phone Tripod Stand Mobile Phone Holder Mount Ring Light Set Selfie Stick-Black,KSh 499,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/28/468094/1.jpg?5488
43,Oraimo Power Bank OPB-P208DN 20KmAh,"KSh 2,500",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/61/336107/1.jpg?9044
44,Generic Stereo F9 Bluetooth Earphone  Power Headset,KSh 690,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/812253/1.jpg?0315
45,Generic Smartwatch Business Bluetooth Waterproof Sport,KSh 713,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/61/6345511/1.jpg?7193
46,Generic HD Sounds Wireless Bluetooth Speaker With Bluetooth Earphone Portable FM Music,KSh 699,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/6404121/1.jpg?2286
47,"Samsung Galaxy A14, 6.6"", 128GB + 4GB (Dual SIM), 5000mAh - Black","KSh 23,899",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/08/4469051/1.jpg?4347
48,"Maxfone MAX 5X 6.1"", 8GB + 1GB RAM (Dual SIM), 3200mAh, Green","KSh 6,000",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/62/5545101/1.jpg?1881
49,"Oraimo Deeper Bass, HD Sound Earphone + Mic",KSh 320,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/58/022033/1.jpg?5245
50,Generic F9 Wireless Bluetooth Earphones Headsets 2000mAh,KSh 949,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/41/838537/1.jpg?6989
51,Floveme Power Bank 2S  20000mAh Portable Charger,"KSh 1,590",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/938643/1.jpg?3325
52,"Infinix Smart 7 Plus 6.6"" HD+, 64GB ROM + 3GB RAM, 6000mAh +  Free Gifts","KSh 15,999",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/3775221/1.jpg?7410
53,Oraimo Senior BT5.0 Single Wireless Bluetooth Headsets,KSh 650,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/469084/1.jpg?4871
54,Generic Wireless Earphones Bluetooth 5.3 Finger Touch Headset HIFI Slide Cover.,KSh 840,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/940865/1.jpg?2687
55,"Tecno Camon 20, 6.67"", 256GB + 8GB+8GB Extended RAM, Dual SIM, 5000mAh, Predawn Black","KSh 28,999",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/54/9189131/1.jpg?9910
56,Qwen Bluetooth Headset Wireless Earbuds With Power Bank & Digital Led Display,KSh 649,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/0137151/1.jpg?2324
57,"XIAOMI Redmi 12C, 6.71"", 4GB + 128GB, 50MP CAM, 5000mAh, Grey + Free Gifts","KSh 21,598",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/51/5844221/1.jpg?1860
58,Qwen Bluetooth Headsets True Wireless Stereo Earbuds With Power Bank,KSh 649,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/45/8141351/1.jpg?5749
59,Generic Remote Bluetooth Selfie Stick +Tripod Stand + Fill Light  Multiple Function,KSh 730,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/85/925926/1.jpg?5936
60,Generic Smartwatch Blood Pressure And Heart Rate Monitor,KSh 920,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/563937/1.jpg?5284
61,Generic Color Screen Smart Watch Heart Rate Sport Bracelet,KSh 649,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/28/2245511/1.jpg?1573
62,"Maxfone MAX 5X 6.1"", 8GB + 1GB RAM (Dual SIM), 3200mAh, Green","KSh 5,999",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/1895101/1.jpg?7665
63,Generic Bluetooth Wireless Earphones Sound Headsets Noise Cancelling HD Binaural Call Earbuds MiNi,KSh 575,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/639354/1.jpg?0060
